# FONTE DA VERDADE DAS CORES DO DUALSENSE — 27/08/2026
#
# Irmão do `pecas-do-dualsense.csv`: aquele é o dono das PEÇAS, este é o dono
# das CORES. A mesma regra vale — mudou aqui, muda em todos.
#
# O QUE ELE RESOLVE. Até 27/08 as cores do desenho eram CSS DIGITADO À MÃO, em
# UMA zona só (`.corpo`), e em DOIS lugares: `novo-layout/_ferramentas/topo.html`
# (:295-326, quatro colorways) e `novo-layout/_ferramentas/mapa.py`, com um
# quinto — `--midnight-black:#292a2d` — em `novo-layout/04-iluminacao.html`.
# Duas consequências: (1) nenhuma régua sabia dizer se o hex ali estava certo,
# porque não havia com o que comparar — o Cosmic Red do desenho era `#b11f54` e
# a amostragem devolveu `#A51C48`, distância 17; (2) o desenho pintava o
# controle inteiro de uma cor, e o DualSense NÃO é de uma cor só — no Cosmic
# Red a casca é carmim, o painel central é preto e os analógicos são pretos.
#
# FATO ERRADO, SUBSTITUÍDO (27/08/2026, à noite). Estas linhas diziam que as
# cinco cores viviam "dentro do `<style>` do `assets/control-svg/dualsense.svg`".
# O SVG nunca teve `<style>`: ele é o desenho que ela fez no editor, e a única
# cor que carrega é `fill="#3a3f4b"` como atributo. Quem fosse consertar o hex
# procuraria no arquivo errado. O `<style>` que existe ali AGORA é gerado por
# `scripts/gerar_cores_do_dualsense.py` — e é a cura, não o defeito.
#
# COMO A COR CHEGA AO DESENHO, a partir daqui: este CSV manda, e
# `scripts/gerar_cores_do_dualsense.py` escreve. Ele põe `class="z-<zona>"` em
# cada peça (a zona vem da coluna `zona` do `pecas-do-dualsense.csv`) e um
# `<style>` com os 28 modelos dentro do próprio SVG. O portão que reprova a
# divergência é `scripts/check_cores_do_dualsense.py`, com duas réguas
# independentes: a leitura dos CSV, e a PINTURA medida no Chrome.
#
# COMO A COR CHEGA. O serial de fábrica de 17 caracteres carrega o código nos
# caracteres 5 e 6 (`serial[4:6]`). Ele sai por `SET_FEATURE 0x80` com payload
# `[0x01, 0x13]`, e a resposta vem no `GET_FEATURE 0x81`. Medido nesta bancada
# em 27/08/2026 nos DOIS transportes — ver `scripts/ensaios/cor_do_plastico.py`
# e a canônica, seção "O caminho da cor do plástico".
#
# NO RÁDIO, A SEMENTE DO CRC É `0x53`, não `0xA3`. As sementes são o byte de
# cabeçalho da transação HIDP: `0xA3` é `DATA|FEATURE` (o feature que CHEGA),
# `0x53` é `SET_REPORT|FEATURE` (o que SAI). Assinar com a errada devolve
# errno 5, e foi o que fez esta casa concluir por quatro dias que o firmware
# recusava por rádio.
#
# AS ZONAS. Dez, e elas são o que um SVG universal precisa (a linha dizia
#            "oito" e listava dez):
#   casca_esq   punho e ombro esquerdos   | casca_dir  punho e ombro direitos
#   painel      a ilha central            | touch      o retângulo do touchpad
#   botoes_face o plástico de △○X□        | simbolos   a impressão neles
#   dpad        o direcional              | analogicos as duas cabeças
#   gatilhos    L1 R1 L2 R2               | detalhe    friso, decalque, arte
# Nos modelos "split" (Spider-Man 2, God of War 20th) `casca_esq` e `casca_dir`
# são cores DIFERENTES — é por isso que não existe uma coluna `casca` só.
#
# grau : MEDIDO   = o serial saiu de um aparelho DESTA bancada (código), ou o
#                   hex foi amostrado de peça física sob luz controlada
#        ALTA     = o código está no `colorMap` do dualshock-tools (engenharia
#                   reversa consolidada, com dumps de serial reais)
#        FOTO     = o hex foi amostrado de foto oficial da Sony — iluminação de
#                   estúdio distorce; trocar por medição quando houver a peça
#        SEM-HEX  = o acabamento não cabe num hexadecimal (iridescente,
#                   metálico, camuflado, arte impressa). Ver a coluna
#                   `acabamento` e NÃO invente um fill.
#        AUSENTE  = o código não é conhecido publicamente. Ausência declarada.
#
# acabamento : fosco | metalico | iridescente | camuflado | arte | degrade
#
# ATENÇÃO A QUEM FOR MEDIR: os hex marcados FOTO vieram de pesquisa externa
# (27/08) e DIVERGEM dos cinco que o SVG usava. Os quatro controles desta casa
# são White, Cosmic Red, Starlight Blue e Galactic Purple — esses quatro podem
# virar MEDIDO com uma foto sob luz constante, e é o primeiro trabalho a fazer.
#
codigo_da_cor,id,nome,zona,hex,grau,acabamento,fonte,nota
00,white,White,casca_esq,#E4E0D8,FOTO,fosco,pesquisa-externa-27-08,off-white quente; não é #FFFFFF
00,white,White,casca_dir,#E4E0D8,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,painel,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,touch,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,botoes_face,#E4E0D8,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,simbolos,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,dpad,#E4E0D8,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,analogicos,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
00,white,White,gatilhos,#E4E0D8,FOTO,fosco,pesquisa-externa-27-08,
01,midnight-black,Midnight Black,casca_esq,#1C1C1E,FOTO,fosco,pesquisa-externa-27-08,a Sony descreve "dois pretos"; o contraste com o painel é de 8-10 valores
01,midnight-black,Midnight Black,casca_dir,#1C1C1E,FOTO,fosco,pesquisa-externa-27-08,
01,midnight-black,Midnight Black,painel,#121214,FOTO,fosco,pesquisa-externa-27-08,um tom abaixo da casca
01,midnight-black,Midnight Black,touch,#121214,FOTO,fosco,pesquisa-externa-27-08,
01,midnight-black,Midnight Black,botoes_face,#1C1C1E,FOTO,fosco,pesquisa-externa-27-08,
01,midnight-black,Midnight Black,simbolos,#C8C8C4,FOTO,fosco,pesquisa-externa-27-08,cinza-claro; não é branco puro
01,midnight-black,Midnight Black,dpad,#1C1C1E,FOTO,fosco,pesquisa-externa-27-08,
01,midnight-black,Midnight Black,analogicos,#121214,FOTO,fosco,pesquisa-externa-27-08,
01,midnight-black,Midnight Black,gatilhos,#1C1C1E,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,casca_esq,#A51C48,FOTO,fosco,pesquisa-externa-27-08,carmim-magenta; o SVG usava #B11F54 — distância 17
02,cosmic-red,Cosmic Red,casca_dir,#A51C48,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,painel,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,o centro é PRETO — foi o que o SVG de uma zona só errava
02,cosmic-red,Cosmic Red,touch,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,botoes_face,#A51C48,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,simbolos,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,dpad,#A51C48,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,analogicos,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
02,cosmic-red,Cosmic Red,gatilhos,#A51C48,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,casca_esq,#E35B8C,FOTO,fosco,pesquisa-externa-27-08,o SVG usava #EC429D — distância 32
03,nova-pink,Nova Pink,casca_dir,#E35B8C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,painel,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,touch,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,botoes_face,#E35B8C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,simbolos,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,dpad,#E35B8C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,analogicos,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
03,nova-pink,Nova Pink,gatilhos,#E35B8C,FOTO,fosco,pesquisa-externa-27-08,
04,galactic-purple,Galactic Purple,casca_esq,#5B3A7A,FOTO,fosco,pesquisa-externa-27-08,o SVG usava #4C319D — distância 39
04,galactic-purple,Galactic Purple,casca_dir,#5B3A7A,FOTO,fosco,pesquisa-externa-27-08,
04,galactic-purple,Galactic Purple,painel,#1A1A1C,FOTO,fosco,pesquisa-externa-27-08,
