bloco,quando,chave,campo,valor
E-5,2026-08-15T07:27:52.873,negativo,dispositivo,pulse
E-5,2026-08-15T07:27:52.873,negativo,amostras,288000
E-5,2026-08-15T07:27:52.873,negativo,nao_zero,0
E-5,2026-08-15T07:27:52.873,negativo,pico,0
E-5,2026-08-15T07:27:52.873,negativo,rms,0.00
E-5,2026-08-15T07:27:52.873,negativo,veredito,ZEROS EXATOS
E-5,2026-08-15T07:27:52.873,negativo,erro,
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,dispositivo,"hw:2,0"
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,amostras,480000
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,nao_zero,474078
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,pico,282
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,rms,64.55
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,veredito,PISO DE RUÍDO
E-5,2026-08-15T07:27:52.873,d4:2f:4b:00:00:d8,erro,
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,dispositivo,"hw:3,0"
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,amostras,480000
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,nao_zero,476620
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,pico,535
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,rms,116.19
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,veredito,PISO DE RUÍDO
E-5,2026-08-15T07:27:52.873,a0:fa:9c:00:00:f0,erro,
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw11,hz,173.20
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw11,reports,2598
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw4,hz,249.99
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw4,reports,3750
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw5,hz,249.99
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw5,reports,3750
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw9,hz,366.86
E-6,2026-08-15T07:28:09.028,patamar0/rodada1/hidraw9,reports,5503
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw11,hz,222.33
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw11,reports,3335
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw4,hz,249.99
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw4,reports,3750
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw5,hz,249.99
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw5,reports,3750
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw9,hz,358.99
E-6,2026-08-15T07:28:26.029,patamar1/rodada1/hidraw9,reports,5385
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw11,hz,232.33
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw11,reports,3485
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw4,hz,249.99
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw4,reports,3750
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw5,hz,249.99
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw5,reports,3750
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw9,hz,358.26
E-6,2026-08-15T07:28:43.344,patamar2/rodada1/hidraw9,reports,5374
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw11,hz,207.26
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw11,reports,3109
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw4,hz,249.99
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw4,reports,3750
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw5,hz,249.99
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw5,reports,3750
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw9,hz,359.12
E-6,2026-08-15T07:29:00.809,patamar2/rodada2/hidraw9,reports,5387
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw11,hz,208.46
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw11,reports,3127
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw4,hz,249.99
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw4,reports,3750
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw5,hz,249.99
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw5,reports,3750
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw9,hz,358.05
E-6,2026-08-15T07:29:18.274,patamar1/rodada2/hidraw9,reports,5371
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw11,hz,211.20
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw11,reports,3168
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw4,hz,250.00
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw4,reports,3750
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw5,hz,250.00
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw5,reports,3750
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw9,hz,357.93
E-6,2026-08-15T07:29:35.589,patamar0/rodada2/hidraw9,reports,5369
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw11,hz,216.86
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw11,reports,3253
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw4,hz,249.99
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw4,reports,3750
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw5,hz,249.99
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw5,reports,3750
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw9,hz,356.25
E-6,2026-08-15T07:29:52.589,patamar0/rodada3/hidraw9,reports,5344
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw11,hz,210.12
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw11,reports,3152
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw4,hz,249.99
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw4,reports,3750
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw5,hz,249.99
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw5,reports,3750
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw9,hz,360.72
E-6,2026-08-15T07:30:09.590,patamar1/rodada3/hidraw9,reports,5411
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw11,hz,190.66
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw11,reports,2860
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw4,hz,249.99
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw4,reports,3750
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw5,hz,249.99
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw5,reports,3750
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw9,hz,358.45
E-6,2026-08-15T07:30:26.905,patamar2/rodada3/hidraw9,reports,5377
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw11,hz,192.80
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw11,reports,2892
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw4,hz,250.00
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw4,reports,3750
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw5,hz,250.00
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw5,reports,3750
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw9,hz,356.00
E-6,2026-08-15T07:30:44.371,patamar2/rodada4/hidraw9,reports,5340
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw11,hz,221.12
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw11,reports,3317
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw4,hz,249.99
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw4,reports,3750
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw5,hz,249.99
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw5,reports,3750
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw9,hz,354.39
E-6,2026-08-15T07:31:01.835,patamar1/rodada4/hidraw9,reports,5316
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw11,hz,211.53
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw11,reports,3173
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw4,hz,250.00
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw4,reports,3750
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw5,hz,250.00
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw5,reports,3750
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw9,hz,354.93
E-6,2026-08-15T07:31:19.150,patamar0/rodada4/hidraw9,reports,5324
