mac_mascarado,transporte,hardware_version,report,declarado,bytes,segunda_leitura,contem_o_mac_dele,conteudo_mascarado,erro
a0:fa:9c:00:00:f0,rádio,0x00000710,0x05,sim,41,IGUAL,,05 17 00 fd ff fc ff a3 22 85 dd 87 22 6f dd 88 22 75 dd 1c 02 1c 02 04 20 f9 df 71 1f 76 df e7 1f de df 0d 00 53 06 a7 65,
a0:fa:9c:00:00:f0,rádio,0x00000710,0x09,sim,20,IGUAL,"sim, INVERTIDO, no byte 1",09 f0 00 00 9c fa a0 08 25 00 c4 00 00 89 44 d8 4b 90 67 b1,
a0:fa:9c:00:00:f0,rádio,0x00000710,0x0b,sim,42,IGUAL,"sim, INVERTIDO, no byte 1",0b f0 00 00 9c fa a0 08 25 00 00 c4 00 00 89 44 d8 01 b4 00 78 eb 68 dc 02 c8 ee 29 d8 17 e4 00 00 00 00 00 00 00 d4 0c 38 db,
a0:fa:9c:00:00:f0,rádio,0x00000710,0x20,sim,64,IGUAL,,20 4a 75 6c 20 20 34 20 32 30 32 35 31 30 3a 31 30 3a 33 32 03 00 04 00 10 07 00 00 2a 00 10 01 00 d8 00 00 00 00 00 00 00 00 00 00 30 06 00 00 3c 00 01 00 0a 00 02 00 06 00 00 00 7d c8 6d e2,
a0:fa:9c:00:00:f0,rádio,0x00000710,0x22,sim,64,IGUAL,"sim, INVERTIDO, no byte 17",22 03 00 10 07 00 00 2a 00 10 01 00 00 00 00 00 00 f0 00 00 9c fa a0 0a 00 02 00 06 00 00 00 19 00 00 00 21 28 01 00 04 00 02 02 00 00 a6 89 32 03 28 3d 0b 00 3c 00 01 00 58 05 00 60 87 a5 ad,
d4:2f:4b:00:00:d8,rádio,0x00001111,0x05,sim,41,IGUAL,,05 0e 00 03 00 f4 ff 9d 22 7f dd 82 22 84 dd 7a 22 6e dd 1c 02 1c 02 0b 20 18 e0 9f 20 b4 e0 ef 1f fb df 09 00 1b ff f5 fd,
d4:2f:4b:00:00:d8,rádio,0x00001111,0x09,sim,20,IGUAL,"sim, INVERTIDO, no byte 1",09 d8 00 00 4b 2f d4 08 25 00 c4 00 00 89 44 d8 c3 24 c0 5a,
d4:2f:4b:00:00:d8,rádio,0x00001111,0x0b,sim,42,IGUAL,"sim, INVERTIDO, no byte 1",0b d8 00 00 4b 2f d4 08 25 00 00 c4 00 00 89 44 d8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5d 6d 4e 4e,
d4:2f:4b:00:00:d8,rádio,0x00001111,0x20,sim,64,IGUAL,,20 4a 75 6c 20 20 34 20 32 30 32 35 31 30 3a 33 38 3a 34 30 03 00 0b 00 11 11 00 00 2a 00 10 01 00 48 03 00 00 00 00 00 00 00 00 00 30 06 00 00 01 00 03 00 10 10 03 00 06 00 00 00 70 90 eb 64,
d4:2f:4b:00:00:d8,rádio,0x00001111,0x22,sim,64,IGUAL,"sim, INVERTIDO, no byte 17",22 03 00 11 11 00 00 2a 00 10 01 00 00 00 00 00 00 d8 00 00 4b 2f d4 10 10 03 00 06 00 00 00 19 00 00 00 1d 6c 0e 1f 04 01 01 03 00 00 41 50 35 31 38 37 37 0f 01 00 03 00 80 05 00 8b d7 91 1a,
14:3a:9a:00:00:ab,cabo,0x00000711,0x05,sim,41,IGUAL,,05 02 00 00 00 00 00 a7 22 61 dd 51 22 a8 dd d2 22 2d dd 1c 02 1c 02 fd 1f 13 e0 e1 1f e8 df 26 20 1d e0 0b 00 00 00 00 00,
14:3a:9a:00:00:ab,cabo,0x00000711,0x09,sim,20,IGUAL,"sim, INVERTIDO, no byte 1",09 ab 00 00 9a 3a 14 08 25 00 c4 00 00 89 44 d8 00 00 00 00,
14:3a:9a:00:00:ab,cabo,0x00000711,0x0b,sim,42,IGUAL,"sim, INVERTIDO, no byte 1",0b ab 00 00 9a 3a 14 08 25 00 00 c4 00 00 89 44 d8 01 b4 00 78 eb 68 dc 02 c8 ee 29 d8 17 e4 03 c4 00 00 89 44 d8 00 00 00 00,
14:3a:9a:00:00:ab,cabo,0x00000711,0x20,sim,64,IGUAL,,20 4a 75 6c 20 20 34 20 32 30 32 35 31 30 3a 31 30 3a 33 32 02 00 04 00 11 07 00 00 2a 00 10 01 01 a8 00 00 00 00 00 00 00 00 00 00 30 06 00 00 3c 00 01 00 0a 00 02 00 06 00 00 00 00 00 00 00,
14:3a:9a:00:00:ab,cabo,0x00000711,0x22,sim,64,IGUAL,"sim, INVERTIDO, no byte 17",22 02 00 11 07 00 00 2a 00 10 01 00 00 00 00 00 00 ab 00 00 9a 3a 14 0a 00 02 00 06 00 00 00 19 00 00 00 a6 0a 11 aa 00 06 01 03 00 00 b7 24 90 b8 f0 22 1b f3 3c 00 01 00 02 05 00 00 00 00 00,
44:46:48:00:00:03,cabo,0x00000811,0x05,sim,41,IGUAL,,05 05 00 0d 00 01 00 98 22 72 dd 94 22 86 dd 80 22 82 dd 1c 02 1c 02 08 20 f9 df 9f 1f 96 df f9 1f f2 df 0b 00 00 00 00 00,
44:46:48:00:00:03,cabo,0x00000811,0x09,sim,20,IGUAL,"sim, INVERTIDO, no byte 1",09 03 00 00 48 46 44 08 25 00 c4 00 00 89 44 d8 00 00 00 00,
44:46:48:00:00:03,cabo,0x00000811,0x0b,sim,42,IGUAL,"sim, INVERTIDO, no byte 1",0b 03 00 00 48 46 44 08 25 00 00 c4 00 00 89 44 d8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
