id,linha_id,quando,suspeito,presente,resultado,observado_por,fonte,nota
lightbar-bt-1,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T17:48:24,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,não obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,branco — 0x08 no mesmo milissegundo
lightbar-bt-2,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T17:48:36,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,não obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,roxo — 0x08 em 53 ms
lightbar-bt-3,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T19:34:45,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,não obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,roxo — mesmo ms
lightbar-bt-4,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T19:53:17,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,não obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,roxo
lightbar-bt-5,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T19:56:08,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,não obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,roxo — 695 ms
lightbar-bt-6,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T20:03:56,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,não,obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,O ENSAIO QUE DISCRIMINOU — handle reaproveitado; adopt_candidates não disparou e o 0x08 não saiu
lightbar-bt-7,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T20:04:20,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,não obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,branco — 515 ms
lightbar-bt-neg,dualsense.lightbar_cor_rgb.bluetooth,2026-08-03T20:10:00,0x08 FORA da janela (controle conectado há dez minutos),sim,obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,CONTROLE NEGATIVO — o mesmo report fora da janela não trava; é a janela que discrimina
lightbar-usb-1,dualsense.lightbar_cor_rgb.usb,2026-08-03T20:15:00,0x08 VALID_FLAG1_RELEASE_LEDS na janela de ~3.4s após conectar,sim,obedece,olho-dela,LIGHTBAR-BT-CULPADO-01,o report 0x02 do cabo não tem janela nem máquina de estados — explica o que JÁ funcionava
rumble-bt-1,dualsense.rumble_motor_esquerdo_strong.bluetooth,2026-08-10T22:40:00,o byte common[3] (strong) chegando ao motor por Bluetooth,sim,obedece,olho-dela,"bancada 10/08 — DualSense em BT, daemon ativo","weak=0 strong=200 -> vibrou SO o motor esquerdo, confirmado por ela no aparelho"
rumble-bt-2,dualsense.rumble_motor_esquerdo_strong.bluetooth,2026-08-10T22:40:00,o byte common[3] (strong) chegando ao motor por Bluetooth,não,não obedece,olho-dela,"bancada 10/08 — DualSense em BT, daemon ativo",weak=200 strong=0 -> o esquerdo ficou parado; so o direito vibrou
rumble-bt-3,dualsense.rumble_motor_direito_weak.bluetooth,2026-08-10T22:40:00,o byte common[2] (weak) chegando ao motor por Bluetooth,sim,obedece,olho-dela,"bancada 10/08 — DualSense em BT, daemon ativo","weak=200 strong=0 -> vibrou SO o motor direito, confirmado por ela"
rumble-bt-4,dualsense.rumble_motor_direito_weak.bluetooth,2026-08-10T22:40:00,o byte common[2] (weak) chegando ao motor por Bluetooth,não,não obedece,olho-dela,"bancada 10/08 — DualSense em BT, daemon ativo",weak=0 strong=200 -> o direito ficou parado; so o esquerdo vibrou
rumble-bt-5,dualsense.rumble_motor_esquerdo_strong.bluetooth,2026-08-10T22:40:00,o zero para o motor (não fica preso),sim,obedece,olho-dela,"bancada 10/08 — DualSense em BT, daemon ativo","weak=0 strong=0 -> parou de fato, confirmado por ela. O 'trava sem fim' da ONDA-U não se reproduz aqui"
