# O QUE AINDA APONTA PARA A JANELA GTK — inventário da sprint GTK-1 (06/09/2026)
#
# Decisão dela (D-0609-GTK-LEVA-INTEIRA): "a ideia sempre foi reaproveitar o que
# fiz no gtk e não apontar nada mais pra lá mas pro html". A frase inteira está
# em docs/process/sprints/2026-09-06-GTK-1-o-inventario-e-o-portao-que-impede-a-janela-de-crescer.md
#
# O QUE SAI É A JANELA. O QUE FICA É O MOTOR (app/actions/, app/widgets/,
# app/telas/, daemon/) — é o reuso que ela pediu.
#
# UMA LINHA POR (arquivo, alvo). `linhas` e `ocorrencias` são o que a varredura
# mediu; `ocorrencias` é o número que o portão congela — ESTA LISTA SÓ DIMINUI.
#
# O VEREDITO É SOBRE A CITAÇÃO, não sobre o arquivo (um arquivo pode ficar e a
# citação sair). Os três são os do plano D-19, Passo 4:
#   SAI-COM-A-JANELA    — mede ou monta a janela; some na GTK-3
#   MOTOR-MUDA-DE-CASA  — o alvo é motor (ou o citador fica): reaponta-se
#   NUNCA-DEVIA-CITAR   — é da interface nova e cita a janela; corrige-se aqui
#
# COMO SE CLASSIFICOU, e a regra tem duas metades:
#   1. ALVO QUE SOBREVIVE e só muda de endereço (gui.ponte_da_tela,
#      gui.aba_conexoes, gui.aba_sistema, gui.widgets.*, gui/theme.css) ->
#      MOTOR-MUDA-DE-CASA, seja quem for o citador. A exceção é o citador que
#      some junto com a janela.
#   2. ALVO QUE MORRE (gui/main.glade, app/app.py, app/main.py) -> classifica-se
#      por QUEM CITA: a janela e seus instrumentos SAEM; a interface nova
#      NUNCA-DEVIA-CITAR; o resto (motor, portão, empacotamento) MUDA DE CASA.
#
# O QUE ESTA VARREDURA COBRE: src/ tests/ scripts/ packaging/ flatpak/ e os
# arquivos soltos da raiz. NÃO cobre `docs/`, e a razão é medida: 233 documentos
# citam `main.glade` entre crases, 104 citam `app/app.py`, 36 citam `theme.css`
# e 16 citam `app/main.py`. Isso é prosa histórica, e esta casa não apaga
# registro datado — mas `scripts/validar-referencias-docs.py` varre `docs/`
# inteiro e reprova caminho que não existe (só ele: não lê `src/`). ENTÃO A
# GTK-3 HERDA 233 DOCUMENTOS VERMELHOS no portão `referencias-docs`, que esta
# casa levou a zero em 31/08 e 01/09. Não há atalho automático: ou os caminhos
# são declarados como históricos no portão, ou as 233 se reescrevem.
#
# A NATUREZA FOI MEDIDA COM `tokenize`, NÃO COM GREP, e o número é o argumento:
# das 255 linhas, 111 são PROSA pura (comentário ou docstring), 41 são só
# `import` e 85 tocam o artefato em CÓDIGO. Um grep chamaria as 255 de
# dependência, e a GTK-3 removeria o que não devia.
#
# Portão: scripts/check_nada_aponta_para_a_janela.py
arquivo,linhas,alvo,natureza,ocorrencias,pergunta_respondida,veredito,razao
flatpak/io.github.hefesto_team.hefesto_dualsense4unix.yml,246,gui.widgets.button_glyph,prosa,1,"quem cita? empacotamento; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.widgets.button_glyph` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
install.sh,526,app/main.py,prosa,1,"quem cita? empacotamento, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
install.sh,147;2976,gui/theme.css,prosa,2,"quem cita? empacotamento; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui/theme.css` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
packaging/fedora/hefesto-dualsense4unix.spec,48;142,app/main.py,prosa,2,"quem cita? empacotamento, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
packaging/fedora/hefesto-dualsense4unix.spec,44,gui.widgets.button_glyph,prosa,1,"quem cita? empacotamento; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.widgets.button_glyph` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
packaging/hefesto-dualsense4unix.desktop,26,app/main.py,prosa,1,"quem cita? empacotamento, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
run.sh,59;73;88,app/main.py,prosa,3,"quem cita? empacotamento, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/build_deb.sh,139,app/main.py,prosa,1,"quem cita? script, que fica (prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/check_packaging_parity.sh,211;257;1737,app/main.py,código+prosa,3,"quem cita? script, que fica (código+prosa)",MOTOR-MUDA-DE-CASA,"o citador sobrevive à remoção e `app/main.py` não: esta citação precisa de outra fonte, ou de reescrita"
scripts/check_paridade_gtk_html.py,173,gui.aba_sistema,prosa,1,"quem cita? script; o alvo é MOTOR, não janela",MOTOR-MUDA-DE-CASA,`gui.aba_sistema` sobrevive à remoção: é o reuso que ela pediu. O que muda é o ENDEREÇO — sair de `gui/` e ser reapontado aqui
