aba,feature,veredito,sinal,sinal_espera,sinal_escopo,gtk_onde,html_onde,gtk_faz,html_faz,porque
01-jogar,Os três modos do produto têm botão E escritor,IGUAL,app/actions/mode_transition.plan_mode_transition,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py,src/hefesto_dualsense4unix/app/actions/home_actions.py:2033 · src/hefesto_dualsense4unix/app/actions/home_actions.py:153,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:386 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:515 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1126 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1170,SegmentedSelector de três posições (desktop/gamepad/native) montado em código; os rótulos são o léxico da casa,"interruptor Ligado(gamepad)/Desligado(native) + chip Navegação(desktop); os três delegam a `painel.plano_do_modo` → `plan_mode_transition`, sem uma linha de regra própria","Os dois lados perguntam ao MESMO dono da sequência de IPC (`app/actions/mode_transition.plan_mode_transition`), e `painel.MODOS_DA_TELA` (app/actions/jogar/painel.py:169) declara que o conjunto da tela é o conjunto de `mode_transition.MODES`. A FORMA muda (interruptor+chip contra fileira de três); o conjunto de modos e o caminho até o daemon, não."
01-jogar,A tela mostra em que modo o sistema ESTÁ agora,IGUAL,"data-campo=""modo-aceso""",PRESENTE,LADO-HTML,src/hefesto_dualsense4unix/app/actions/home_actions.py:2583 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2604,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:379 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:454 · src/hefesto_dualsense4unix/interface/aba01.py:1088 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1584,a cada tique de 2 s o seletor recebe `set_active_id(modo_exibido)` derivado de `mode_of_state(state)`,"`_estado_da_tela` lê `painel.hefesto_ligado` e `painel.modo_vivo` a cada tique e emite `hef-posicao` (as duas posições do interruptor) e `modo-aceso` (os chips da fileira); cada elemento decide por si pelo `data-hef-alvo=""classe""` + `data-hef-quando`","FECHOU em 03/09/2026, e o CSV descrevia o dia anterior. A linha dizia 'nem os `<label>` do interruptor nem os `.degrau` da fileira têm `data-campo`' — medido agora na página publicada: 2 `hef-posicao` e 4 `modo-aceso`, todos com alvo `classe`. A régua que tranca isto é `tests/unit/test_a_aba01_le_o_estado_em_vez_de_cravar.py::test_o_interruptor_e_o_chip_saem_do_daemon`, que TROCA `painel.modo_vivo` e cobra que o pacote a siga — um valor digitado no pacote reprova. || O QUE AINDA DIFERE, e é consequência de decisão dela e não gap: a GTK mostra a escolha PENDENTE enquanto ela não aplica (`modo_exibido = pendente or mode`); no HTML o clique aplica na hora (decisão dela de 01/09), então vigente e escolhido são a mesma coisa. Isso já é uma linha própria — 'Momento em que o clique vira ato'."
01-jogar,Momento em que o clique vira ato (marcar × aplicar na hora),DIFERENTE,_aplicar,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py,src/hefesto_dualsense4unix/app/actions/home_actions.py:3048 · src/hefesto_dualsense4unix/app/actions/home_actions.py:3077 · src/hefesto_dualsense4unix/app/actions/footer_actions.py:272 · src/hefesto_dualsense4unix/app/actions/footer_actions.py:510 · src/hefesto_dualsense4unix/app/actions/footer_actions.py:1695,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:420 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:493 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:511 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:535 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:344,"o clique só MARCA a escolha (`marcar_escolha`); quem aplica é o 'Aplicar' verde do rodapé, que dispara `apply_mode(modo, flavor=mascara)`","o clique aplica na hora: `_aplicar(p, _plano(chave))` despacha os IPCs do plano imediatamente","Não é dívida — é decisão dela de 01/09 ('a interface nova é de ação imediata'), registrada em `pacotes/rodape.py:46-50`. O preço declarado: na GTK modo e máscara são decididos JUNTOS e aplicados numa transação só; no HTML cada chip é uma transação própria, então um caminho intermediário (ligar gamepad, depois trocar flavor) passa pelo daemon em dois tempos."
01-jogar,O modo/máscara escolhidos entram no perfil que ela salva,DIFERENTE,gravar_o_modo_no_ativo,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/perfil.py,src/hefesto_dualsense4unix/app/actions/home_actions.py:1763 · src/hefesto_dualsense4unix/app/actions/home_actions.py:1821 · src/hefesto_dualsense4unix/app/actions/footer_actions.py:1107,src/hefesto_dualsense4unix/interface/pacotes/perfil.py:408 · src/hefesto_dualsense4unix/interface/pacotes/perfil.py:446 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:1703,"a escolha pendente é recolhida para o rascunho no 'Salvar', e o modo é registrado no `DraftConfig` — é a cura da queixa dela de 29/07 ('salvei o perfil e as configs não ficam salvas')","O interruptor e os três chips da fileira Modo gravam a escolha na seção `mode` do perfil ATIVO depois de o plano de IPC sair — pelo MESMO dono que a aba Perfis usa. `""none""` remove a seção, a máscara é zerada fora do modo jogo e preservada dentro dele, e a gravação nunca levanta.","O próprio rodapé do HTML escreve que não faz: *'o ""depois"" (modo e máscara) da janela estável vem de uma escolha PENDENTE da aba Início, que a interface nova ainda não guarda'*. Consequência concreta: ela escolhe 'Xbox' na 01, clica em 'Salvar Perfil' na 10, e o perfil grava a máscara que estava no disco — a escolha dela não entra. || REMEDIDO em 06/09/2026 pela PARIDADE-REMEDIR-01, com o texto da JOGAR-O-QUE-FALTA-01 e os endereços RELIDOS na costura: o DADO passou a ser o mesmo e a FORMA continua outra, por decisão dela: na GTK a escolha é recolhida no “Salvar” (`recolher_escolha_pendente_no_rascunho`); aqui o clique já aplica e já grava (D1/D2, 01/09). A régua mede pela OUTRA tela — o valor é lido por `perfis_web._pacote_do_editor`, que é o que o quadro Modo da aba 10 mostra —, e a regra ficou no módulo compartilhado, não numa terceira cópia dentro da aba."
01-jogar,A escolha de máscara chega ao daemon (o jogo vê o controle como),IGUAL,painel.CHIPS_DA_ESCADA,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py,src/hefesto_dualsense4unix/app/actions/home_actions.py:2086 · src/hefesto_dualsense4unix/app/actions/home_actions.py:164,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:478 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:427,"SegmentedSelector xbox/dualsense da MÁQUINA; o 'Aplicar' manda `apply_mode(gamepad, flavor=...)`","os chips **Sony DualSense** e **Xbox** da fileira Modo, que mandam `gamepad.emulation.set{enabled:true, origin:'manual', flavor:...}` pelo mesmo plano","A máscara não é digitada no gesto: sai de `painel.CHIPS_DA_ESCADA` (app/actions/jogar/painel.py:467), que é o mesmo lugar que a GTK usa para traduzir chip→ponte. O `origin='manual'` vem no plano nos dois lados (sem ele o daemon lê como reconciliação automática e recusa com Steam Input na jogada — ORIGEM-QUE-MENTE-01)."
01-jogar,A tela mostra qual máscara está VIGENTE,IGUAL,"data-campo=""mascara-cartao""",PRESENTE,LADO-HTML,src/hefesto_dualsense4unix/app/actions/home_actions.py:2589 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2662,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:148 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:472 · src/hefesto_dualsense4unix/interface/aba01.py:834 · src/hefesto_dualsense4unix/interface/mesa_viva.py:349,"`set_active_id(mascara_exibida)` a cada tique, com o `flavor` do `state_full` e a guarda da pendência","dois lugares, e os dois lidos a cada tique: o chip da fileira Modo (`modo-aceso`, de `home_actions.mascara_do_aparelho`) e os três chips DENTRO de cada cartão (`mascara-cartao`, agora POR APARELHO — `mesa_viva` lê `gamepad_emulation.por_aparelho`)","FECHOU EM DOIS TEMPOS. O primeiro foi 03/09 de manhã: os chips ganharam `data-campo` e pararam de repetir o que o gerador cravou. O segundo é desta leva, e o primeiro ainda mentia: `mascara-cartao` era emitido como valor DE PÁGINA, e o piloto escreve valor de página em TODO elemento com aquele `data-campo` — a máscara da SESSÃO ia para os três chips dos quatro cartões. Com o P1 em `dualsense` e o P2 em `xbox` (que é o que o registro `external_mask` sabe guardar, e o que o desenho dela mostra) os dois cartões acendiam o MESMO chip. A bancada `jogar_vivo` já fazia certo; quem discordava era o produto. || A MORDIDA: devolva `mascara-cartao` a `DA_PAGINA` e emita-o em `_estado_da_tela` — `test_dois_controles_duas_mascaras` reprova com os dois cartões em DualSense. || O que ainda difere é a guarda da pendência, que é a outra metade da decisão dela de ação imediata — ver a linha 'Momento em que o clique vira ato'."
01-jogar,A caixa da máscara só aparece quando faz sentido,DIFERENTE,so-desligado,PRESENTE,src/hefesto_dualsense4unix/interface/paginas/01-jogar.html,src/hefesto_dualsense4unix/app/actions/home_actions.py:2648 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2631,src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1121 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1162 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1177 · src/hefesto_dualsense4unix/interface/aba01.py:285,"`_home_gamepad_opts.set_visible(modo_exibido == 'gamepad')` a cada tique — a caixa segue a ESCOLHA dela, revisão que ela pediu vendo a tela em 08/08","as seções `.so-ligado`/`.so-desligado` aparecem por CSS a partir do `<input type=radio>` do interruptor, que muda só pelo `for=` do `<label>` — nunca pelo estado do daemon","Os dois escondem/mostram, mas por gatilhos diferentes: a GTK segue o estado (dela ou do daemon), o HTML segue só o último clique NESTA sessão de página. Trocar de aba recarrega o documento e o rádio volta ao `checked` do arquivo — a seção mostrada volta a 'Ligado' mesmo com o daemon em desktop."
01-jogar,"O custo da máscara Xbox, dito ANTES do clique",FALTA_NO_HTML,TEXTO_CUSTO_MASCARA_XBOX,AUSENTE,LADO-HTML,src/hefesto_dualsense4unix/app/actions/home_actions.py:377 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2107 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2671,src/hefesto_dualsense4unix/interface/aba01.py:205 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1167,"linha embaixo do seletor: 'Nesta máscara o jogo não recebe giroscópio, acelerômetro nem touchpad…' — e é o custo da máscara que a caixa MOSTRA, não da vigente",nada. As dicas dos chips foram encolhidas de 1.147 para 396 caracteres e a afirmação de perda saiu junto,"Caso em que os dois lados se contradizem e a decisão é dela, não minha: ela mandou tirar em 31/08 (*'independente do modo, todas as features vão funcionar. Então o tooltip falando o contrário é sem nexo'*), e a GTK continua afirmando o contrário com medição do fonte C atrás (`uinput_gamepad.py` declara 8 eixos, nenhum IMU). Registro como falta porque a MEDIÇÃO da GTK não foi derrubada — só a frase saiu de uma tela e não entrou na outra. || REMEDIDA em 06/09/2026 pela PARIDADE-REMEDIR-01, e continua FALTA_NO_HTML de propósito: a 24 HORAS deixa ""o custo da máscara antes do clique"" (10-Q6) FORA das 24 h (§10, ""O QUE NÃO ENTRA""), e a mesma seção diz onde a fila mora — ""o resto dos FALTA fica na régua"". O que a medição ACRESCENTA é que o lado HTML não está apenas calado: ele PROÍBE a frase, em código — `src/hefesto_dualsense4unix/interface/aba01.py:1723` recusa a geração se voltar ""sem giroscópio"", ""só chegam ao jogo por aqui"", ""só chegam ao jogo pelo"" ou ""sem touchpad para o jogo"", que são as duas afirmações que ela mandou cair em 31/08. A dívida que sobra é de MECANISMO, não de texto."
01-jogar,A descrição do modo escolhido,DIFERENTE,"data-gesto=""hefesto""",PRESENTE,src/hefesto_dualsense4unix/interface/paginas/01-jogar.html,src/hefesto_dualsense4unix/app/actions/home_actions.py:169 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2039 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2615 · src/hefesto_dualsense4unix/app/actions/home_actions.py:3029,src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1127 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1129 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1165 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1167 · src/hefesto_dualsense4unix/interface/paginas/01-jogar.html:1171,"linha permanente e visível abaixo do seletor, trocada no clique E no tique; três frases longas escritas para leiga","as frases viraram `title=` (tooltip de hover) nos rótulos do interruptor e nos chips, com outro texto e muito mais curtas","O fato é o mesmo, o canal não: a GTK escreve na tela (lê-se sem gesto), o HTML só no hover. E o texto diverge — a GTK diz de `native` 'Alguns jogos derrubam o controle no meio da partida neste modo'; o `title` do HTML diz 'o Hefesto sai do meio e o jogo fala direto com o controle', sem o aviso de derrubada. || DECIDIDO em 04/09/2026 — Na coluna Atenção, só má notícia. Casa com a D-10, que já mandou as três frases órfãs para lá. Onde está escrito: `docs/process/2026-09-04-O-PO-DECIDE-as-54-e-os-sete-conflitos.md` §2 `01[01]`, sobre a pergunta [01] de `docs/process/sprints/2026-09-04-DECISOES-DELA-01-jogar.md`. Não espera mais palavra dela."
01-jogar,A frase da PAUSA no lugar da promessa do modo,DIFERENTE,painel.avisos_do_estado,PRESENTE,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py,src/hefesto_dualsense4unix/app/actions/home_actions.py:208 · src/hefesto_dualsense4unix/app/actions/home_actions.py:216 · src/hefesto_dualsense4unix/app/actions/home_actions.py:2614,src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:817 · src/hefesto_dualsense4unix/interface/pacotes/a01_jogar.py:753,"com o Hefesto em pausa a descrição do modo SAI da tela e entra 'O Hefesto está em pausa: nada disto está acontecendo agora…' — substituição, não banner ao lado","A frase da PAUSA CHEGA À TELA, e chega pelo dono: `_avisos` faz `fora += list(painel.avisos_do_estado(ctx.state))` (a01_jogar.py:817), e o aviso `PAUSA` entra na coluna Atenção com a contagem. O que NÃO acontece é a SUBSTITUIÇÃO: a descrição do modo continua na tela ao lado do aviso.","A fonte já está declarada como aviso da tela em `app/actions/jogar/painel.py:646` (`Aviso('PAUSA', home_actions.texto_da_pausa, …)`) — mas quem consome `AVISOS_DA_TELA` é a bancada `interface/jogar_vivo.py:753,827`, isenta em pyproject.toml:247, e não o produto. Com o daemon pausado, a 01 do produto continua prometendo luz, vibração e jogador para cada controle. || REMEDIDA em 06/09/2026 pela PARIDADE-REMEDIR-01. **O `html_faz` descrevia o mundo de ontem** — dizia ""nada na 01; `state['paused']` não é lido por pacote nenhum"", e a `JOGAR-O-QUE-FALTA-01` derrubou isso medindo com `paused: True`: sai `[PAUSA] O Hefesto está em pausa…` e `atencao-conta = ""1 aviso""`. Conferido aqui no fonte: a chamada é código, não prosa (a01_jogar.py:817). Vira DIFERENTE e não IGUAL porque a GTK TROCA a promessa do modo pela frase da pausa (`home_actions._home_mode_desc`) e o HTML a ACRESCENTA na coluna Atenção — o mesmo fato, em dois lugares diferentes da tela."
