portões — árvore /mnt/Apate/Desenvolvimento/hefesto-voo/hefesto-voo/SPECS-A-PROCEDENCIA-01-opus
         python  /mnt/Apate/Desenvolvimento/hefesto-dualsense4unix/.venv/bin/python
         camadas rapido completo
         PYTHONPATH /mnt/Apate/Desenvolvimento/hefesto-voo/hefesto-voo/SPECS-A-PROCEDENCIA-01-opus/src

  contrato-ipc           ok          78 ms
  citacoes-de-linha      ok         208 ms
  citacoes-no-codigo     ok       78623 ms
  mapa-de-canais         ok         385 ms
  fatos-de-tela          ok          56 ms
  fala-de-tela           ok         575 ms
  caducos                ok         142 ms
  palavra-de-tela        ok        1181 ms
  version-consistency    ok          27 ms
  curvas                 ok         102 ms
  frases-de-tela         ok          39 ms
  paridade-transporte    ok        1668 ms
  paridade-gtk-html      ok        8312 ms
  donos-de-comportamento ok        1332 ms
  nada-aponta-para-a-janela ok        3452 ms
  test-data              ok          69 ms
  endereco-de-radio      ok        4006 ms
  serial-de-aparelho     ok        1543 ms
  faixa-sintetica        ok          63 ms
  mac-por-oui            ok       13313 ms
  mac-de-fixture         ok        1554 ms
  casa-sabe              ok      123723 ms
  portao-tem-chamador    ok         718 ms
  interpretador-do-portao ok        1602 ms
  a-tela-dela            ok        1305 ms
  o-instrumento-e-a-tela ok        1318 ms
  a-frase-banida         ok        3421 ms
  src-desta-arvore       ok        1176 ms
  o-piloto-e-a-arvore    ok        2889 ms
  desenho-aprovado       ok         119 ms
  identidade-de-cima     ok         236 ms
  cor-vem-do-aparelho    ok         238 ms
  colisao-de-sprints     ok         141 ms
  icones                 ok         107 ms
  packaging-parity       ok        1544 ms
  glifos                 ok        3012 ms
  pecas-do-dualsense     ok        9368 ms
  cores-do-dualsense     ok        3755 ms
  regua-de-tela          ok          36 ms
  ruff                   ok          19 ms
  shellcheck             ok       11311 ms
  referencias-docs       ok        3310 ms
  anonimato              ok        7031 ms
  acentuacao             ok       71368 ms
  mypy                   ok         304 ms

TODOS VERDES — 45 portões.
